8/27/18,1,1
8/28/18,5,5
8/29/18,20,16
8/30/18,17,18
8/31/18,39,29
9/1/18,68,78
9/2/18,27,34
9/3/18,61,53
9/4/18,5,3
9/5/18,0,0
9/6/18,0,0
9/7/18,16,13
9/8/18,36,40
9/9/18,27,18
9/10/18,52,49
9/11/18,54,44
9/12/18,90,115
9/13/18,48,55
9/14/18,31,25
9/15/18,53,61
9/16/18,43,55
9/17/18,91,84
9/18/18,57,64
9/19/18,44,45
9/20/18,55,75
9/21/18,67,66
9/22/18,9,11
9/23/18,172,171
9/24/18,72,95
9/25/18,120,114
9/26/18,107,99
9/27/18,122,102
9/28/18,130,142
9/29/18,58,54
9/30/18,21,22
10/1/18,149,179
10/2/18,281,219
10/3/18,125,128
10/4/18,167,183
10/5/18,279,310
10/6/18,151,193
10/7/18,398,382
10/8/18,109,135
10/9/18,201,187
10/10/18,95,124
10/11/18,62,43
10/12/18,71,57
10/13/18,224,236
10/14/18,12,10
10/15/18,19,13
10/16/18,96,118
10/17/18,117,122
10/18/18,130,133
10/19/18,9,12
10/20/18,265,283
10/21/18,44,36
10/22/18,157,181
10/23/18,169,118
10/24/18,104,110
10/25/18,71,85
10/26/18,9,6
10/27/18,38,36
10/28/18,46,42
10/29/18,38,34
10/30/18,146,134
10/31/18,150,142
11/1/18,49,51
11/2/18,10,8
11/3/18,0,2
11/4/18,63,46
11/5/18,107,120
11/6/18,79,70
11/7/18,91,88
11/8/18,203,180
11/9/18,146,161
11/10/18,141,131
11/11/18,304,299
11/12/18,164,177
11/13/18,141,132
11/14/18,105,105
11/15/18,84,96
11/16/18,0,49
11/17/18,2,10
11/18/18,12,10
11/19/18,59,33
11/20/18,49,37
11/21/18,52,67
11/22/18,112,87
11/23/18,29,33
11/24/18,1,2
11/25/18,12,19
11/26/18,52,46
11/27/18,104,109
11/28/18,214,202
11/29/18,35,37
11/30/18,7,4
12/1/18,0,0
12/2/18,62,51
12/3/18,91,61
12/4/18,130,120
12/5/18,50,40
12/6/18,212,190
12/7/18,8,10
12/8/18,49,35
12/9/18,168,134
12/10/18,11,14
12/11/18,32,30
12/12/18,57,42
12/13/18,74,56
12/14/18,57,49
12/15/18,2,8
12/16/18,5,7
12/17/18,102,120
12/18/18,4,12
12/19/18,3,2
12/20/18,0,0
12/21/18,4,5
12/22/18,21,21
12/23/18,9,5
