8/27/18,1
8/28/18,5
8/29/18,16
8/30/18,18
8/31/18,29
9/1/18,78
9/2/18,34
9/3/18,53
9/4/18,3
9/5/18,0
9/6/18,0
9/7/18,13
9/8/18,40
9/9/18,18
9/10/18,49
9/11/18,44
9/12/18,115
9/13/18,55
9/14/18,25
9/15/18,61
9/16/18,55
9/17/18,84
9/18/18,64
9/19/18,45
9/20/18,75
9/21/18,66
9/22/18,11
9/23/18,171
9/24/18,95
9/25/18,114
9/26/18,99
9/27/18,102
9/28/18,142
9/29/18,54
9/30/18,22
10/1/18,179
10/2/18,219
10/3/18,128
10/4/18,183
10/5/18,310
10/6/18,193
10/7/18,382
10/8/18,135
10/9/18,187
10/10/18,124
10/11/18,43
10/12/18,57
10/13/18,236
10/14/18,10
10/15/18,13
10/16/18,118
10/17/18,122
10/18/18,133
10/19/18,12
10/20/18,283
10/21/18,36
10/22/18,181
10/23/18,118
10/24/18,110
10/25/18,85
10/26/18,6
10/27/18,36
10/28/18,42
10/29/18,34
10/30/18,134
10/31/18,142
11/1/18,51
11/2/18,8
11/3/18,2
11/4/18,46
11/5/18,120
11/6/18,70
11/7/18,88
11/8/18,180
11/9/18,161
11/10/18,131
11/11/18,299
11/12/18,177
11/13/18,132
11/14/18,105
11/15/18,96
11/16/18,49
11/17/18,10
11/18/18,10
11/19/18,33
11/20/18,37
11/21/18,67
11/22/18,87
11/23/18,33
11/24/18,2
11/25/18,19
11/26/18,46
11/27/18,109
11/28/18,202
11/29/18,37
11/30/18,4
12/1/18,0
12/2/18,51
12/3/18,61
12/4/18,120
12/5/18,40
12/6/18,190
12/7/18,10
12/8/18,35
12/9/18,134
12/10/18,14
12/11/18,30
12/12/18,42
12/13/18,56
12/14/18,49
12/15/18,8
12/16/18,7
12/17/18,120
12/18/18,12
12/19/18,2
12/20/18,0
12/21/18,5
12/22/18,21
12/23/18,5
